completions/train/mean_length,rewards/train/score/mean,_step,actor/train/kl
177.125,9.3125,2116,0.11363082379102707
314.125,8.0,2117,0.2033013254404068
171.0,7.8125,2118,0.1850711703300476
240.375,10.0,2119,0.21202173829078674
172.375,9.3125,2120,0.25282642245292664
93.0,7.0,2121,0.26742953062057495
234.5,7.9375,2122,0.5097325444221497
425.625,5.5625,2123,0.19477123022079468
445.5,6.3125,2124,0.1818242371082306
335.625,5.375,2125,0.09814462065696716
172.875,10.0,2126,0.1443447768688202
168.375,7.375,2127,0.22513137757778168
231.0,3.375,2128,0.27959898114204407
185.625,10.0,2129,0.34249523282051086
352.875,5.875,2130,0.12616801261901855
157.5,10.0,2131,0.1985655277967453
258.0,9.5,2132,0.23671521246433258
179.125,7.75,2133,0.16098201274871826
579.5,3.125,2134,0.22523337602615356
224.875,6.5,2135,0.130083367228508
227.25,6.75,2136,0.43208611011505127
150.0,9.875,2137,0.28342077136039734
144.625,8.25,2138,0.26114270091056824
288.625,10.0,2139,0.36783936619758606
404.5,5.34375,2140,0.12989340722560883
331.5,4.90625,2141,0.17884396016597748
262.125,7.4375,2142,0.17058420181274414
256.0,7.9375,2143,0.17173074185848236
260.375,9.3125,2144,0.13531416654586792
333.625,10.0,2145,0.25709885358810425
142.875,5.5625,2146,0.13129152357578278
338.875,8.25,2147,0.2873349189758301
260.75,8.625,2148,0.15779410302639008
271.875,10.0,2149,0.2589154839515686
257.375,9.3125,2150,0.18818582594394684
228.75,10.0,2151,0.1838672161102295
165.875,7.375,2152,0.1660412698984146
422.75,7.1875,2153,0.34805992245674133
235.25,10.0,2154,0.11894142627716064
310.375,7.9375,2155,0.13498154282569885
249.375,10.0,2156,0.15644221007823944
228.625,7.25,2157,0.20755361020565033
263.5,8.25,2158,0.26586294174194336
279.0,5.875,2159,0.18922150135040283
192.25,9.125,2160,0.2572474181652069
189.0,4.9375,2161,0.1758217215538025
255.125,4.28125,2162,0.3936777114868164
204.5,9.125,2163,0.2878257632255554
765.5,0.625,2164,0.18973661959171295
289.875,9.3125,2165,0.08952030539512634
320.25,4.5,2166,0.15170332789421082
244.125,5.875,2167,0.1991259753704071
230.75,7.9375,2168,0.287920206785202
180.5,10.0,2169,0.1394670605659485
199.625,9.125,2170,0.20604020357131958
353.5,10.0,2171,0.25626999139785767
358.75,8.0,2172,0.13183718919754028
166.625,8.0625,2173,0.18608903884887695
228.875,10.0,2174,0.2437896430492401
268.5,10.0,2175,0.10040714591741562
236.25,10.0,2176,0.19063818454742432
141.625,8.125,2177,0.14815928041934967
110.125,10.0,2178,0.414776086807251
534.25,5.25,2179,0.201510488986969
648.5,1.625,2180,0.19020909070968628
195.75,9.0,2181,0.11911086738109589
279.5,4.5,2182,0.1900828778743744
349.75,5.03125,2183,0.2645334005355835
219.75,9.875,2184,0.14270776510238647
311.25,4.96875,2185,0.2074451744556427
296.0,5.03125,2186,0.22861036658287048
151.25,7.75,2187,0.1986885666847229
350.125,8.0,2188,0.3759754002094269
287.875,4.875,2189,0.11507467180490494
189.875,9.875,2190,0.22075633704662323
240.875,7.25,2191,0.16939903795719147
224.0,10.0,2192,0.13755343854427338
186.875,10.0,2193,0.14619134366512299
208.5,6.875,2194,0.19463329017162323
206.5,8.4375,2195,0.323707640171051
246.875,10.0,2196,0.3356008231639862
317.375,4.5,2197,0.2314126193523407
457.25,6.0625,2198,0.09870430082082748
455.25,5.9375,2199,0.20901629328727722
260.125,9.3125,2200,0.17257969081401825
448.25,3.875,2201,0.16970877349376678
321.125,4.34375,2202,0.1848534643650055
360.125,4.5625,2203,0.20216453075408936
209.125,10.0,2204,0.2721364200115204
224.5,7.75,2205,0.18269026279449463
300.875,7.3125,2206,0.24928398430347443
196.125,5.4375,2207,0.17428603768348694
391.5,8.6875,2208,0.18913182616233826
215.5,8.9375,2209,0.13064567744731903
452.375,5.25,2210,0.15047691762447357
342.625,4.8125,2211,0.1570034772157669
251.625,5.875,2212,0.2026858776807785
324.375,8.09375,2213,0.2253807634115219
236.125,10.0,2214,0.281281977891922
278.875,10.0,2215,0.13045856356620789
261.875,7.25,2216,0.18833070993423462
